search_term,video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
NFL highlights,/watch?v=Z-mwYTPsFyI&pp=ygUOTkZMIGhpZ2hsaWdodHM%3D,/@DingProductions,Ding Productions,Biggest Hits of the 2025-2026 NFL Season,376K,8 days,"BRUTAL HITS. Thank you for watching! Subscribe for more if you enjoyed, it means a lot! Comment video ideas down below!",2026-01-22 05:23:00.161824
NFL highlights,/watch?v=NbSvn9Q-pX8&pp=ygUOTkZMIGhpZ2hsaWdodHM%3D,/@ootbalia,Footballia,Marseille vs Liverpool 0-3 – Highlights | Szoboszlai Magic & Gakpo Strike | UCL 2025/26📝 ,32K,6 hours,Liverpool vs marseille 3-0 szoboszlai & cody gakpo goals Title: Marseille vs Liverpool 0-3 – Highlights | Szoboszlai Magic ...,2026-01-22 05:23:00.166497
NFL highlights,/shorts/JTlCI99lYdU,/@marca_en,Marca in English ,"Speed completely embarrassed the New York Jets' CB, Sauce Gardner 😳 #nfl",2M,1 year,,2026-01-22 05:23:00.172436
NFL highlights,/watch?v=r4w8LaKWuGM&pp=ygUOTkZMIGhpZ2hsaWdodHM%3D,/@NFL,NFL,Los Angeles Chargers vs New England Patriots Game Highlights | 2025 NFL Season Wild Card Round,2.8M,10 days,"Get NFL Sunday Ticket: https://tv.youtube.com/learn/nflsundayticket/ Watch live local and primetime games, NFL RedZone, and ...",2026-01-22 05:23:00.175935
NFL highlights,/watch?v=LbgNNw0SJ3o&pp=ygUOTkZMIGhpZ2hsaWdodHPSBwkJhwoBhyohjO8%3D,/@NFL,NFL,Baltimore Ravens vs Pittsburgh Steelers Game Highlights | 2025 NFL Season Week 18,3.6M,2 weeks,"Get NFL Sunday Ticket: https://tv.youtube.com/learn/nflsundayticket/ Watch live local and primetime games, NFL RedZone, and ...",2026-01-22 05:23:00.179047
NFL highlights,/watch?v=HetvEG7ndGQ&pp=ygUOTkZMIGhpZ2hsaWdodHM%3D,/@NFL,NFL,Philadelphia Eagles vs. Buffalo Bills Game Highlights | NFL 2025 Season Week 17,1.5M,3 weeks,"Get NFL Sunday Ticket: https://tv.youtube.com/learn/nflsundayticket/ Watch live local and primetime games, NFL RedZone, and ...",2026-01-22 05:23:00.182901
NFL highlights,/shorts/EiAPJr9U_q4,/@324Sports,324Sports,Tip Drill!!?!  #324sports #football #highlights,5.1M,1 year,TexasLonghorns Commit Caleb Chester with the HUGE Interception!!,2026-01-22 05:23:00.185334
NFL highlights,/watch?v=ZChxJhi98L8&pp=ygUOTkZMIGhpZ2hsaWdodHM%3D,/@NFL,NFL,Baltimore Ravens vs Green Bay Packers Game Highlights | 2025 NFL Season Week 17,2.3M,3 weeks,"Get NFL Sunday Ticket: https://tv.youtube.com/learn/nflsundayticket/ Watch live local and primetime games, NFL RedZone, and ...",2026-01-22 05:23:00.186910
NFL highlights,/watch?v=-5RM4tJV6vA&pp=ygUOTkZMIGhpZ2hsaWdodHM%3D,/@cbssportsgolazo,CBS Sports Golazo,Inter vs. Arsenal: Extended Highlights | UCL League Phase MD 7 | CBS Sports Golazo,572K,1 day,"Inter fell to Liverpool and Atlético Madrid after starting with four victories. Instead, Arsenal are the only team still perfect in the ...",2026-01-22 05:23:00.189873
NFL highlights,/watch?v=06l_30fKC38&pp=ygUOTkZMIGhpZ2hsaWdodHM%3D,/@NFL,NFL,Los Angeles Rams vs Atlanta Falcons Game Highlights | 2025 NFL Season Week 17,1.9M,3 weeks,"Get NFL Sunday Ticket: https://tv.youtube.com/learn/nflsundayticket/ Watch live local and primetime games, NFL RedZone, and ...",2026-01-22 05:23:00.191881
NFL highlights,/shorts/Q3-U1Ob0mSE,/@ItzJustJP,ItzJustJP,Deion Sanders tells a story of how GOOD was Randy Moss! 🔥 #shorts #nflhighlights,404K,4 months,Deion Sanders tells a story of how good was Randy Moss along with Randy Moss NFL highlights! #randymoss #deionsanders ...,2026-01-22 05:23:00.193278
NFL highlights,/watch?v=uJaqnJ6-xfY&pp=ygUOTkZMIGhpZ2hsaWdodHPSBwkJhwoBhyohjO8%3D,/@NFL,NFL,10 HOURS of Awesome NFL Highlights,552K,11 months,10 hours of NFL highlights to get you through the offseason. Throws 0:00:00 Runs 1:08:54 Catches 2:41:07 Defense 4:15:22 ...,2026-01-22 05:23:00.195199
NFL highlights,/shorts/XFYe1p2QuC4,/@5starross,Fivestarross,NFL VILLIAN MOMENTS!🥶 #nflfootball #nflhighlights  #fantasyfootball #chicagobears #touchdown,741K,2 months,,2026-01-22 05:23:00.197736
